Slide 002 Tile Summary:
Original Dimensions: 85895x42764
Original Tile Size: 1024x1024
Scale Factor: 1/32x
Scaled Dimensions: 2684x1336
Scaled Tile Size: 32x32
Total Mask: 95.19%, Total Tissue: 4.81%
Tiles: 84x42 = 3528
    57 ( 1.62%) tiles >=80% tissue
   282 ( 7.99%) tiles >=10% and <80% tissue
   394 (11.17%) tiles >0% and <10% tissue
  2795 (79.22%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Original Col Start,Original Row Start,Original Col End,Original Row End,Original Col Size,Original Row Size,Color Factor,S and V Factor,Quantity Factor,Score
1,1,1,0.00,NONE,0,0,32,32,32,32,0,0,1024,1024,1024,1024,   0,0.16,0.00,0.0000
2,1,2,0.00,NONE,32,0,64,32,32,32,1024,0,2048,1024,1024,1024,   0,0.16,0.00,0.0000
3,1,3,0.00,NONE,64,0,96,32,32,32,2048,0,3072,1024,1024,1024,   0,0.16,0.00,0.0000
4,1,4,0.00,NONE,96,0,128,32,32,32,3072,0,4096,1024,1024,1024,   0,0.16,0.00,0.0000
5,1,5,0.00,NONE,128,0,160,32,32,32,4096,0,5120,1024,1024,1024,   0,0.16,0.00,0.0000
6,1,6,0.00,NONE,160,0,192,32,32,32,5120,0,6144,1024,1024,1024,   0,0.16,0.00,0.0000
7,1,7,0.00,NONE,192,0,224,32,32,32,6145,0,7169,1024,1024,1024,   0,0.16,0.00,0.0000
8,1,8,0.00,NONE,224,0,256,32,32,32,7169,0,8193,1024,1024,1024,   0,0.16,0.00,0.0000
9,1,9,0.00,NONE,256,0,288,32,32,32,8193,0,9217,1024,1024,1024,   0,0.16,0.00,0.0000
10,1,10,0.00,NONE,288,0,320,32,32,32,9217,0,10241,1024,1024,1024,   0,0.16,0.00,0.0000
11,1,11,0.00,NONE,320,0,352,32,32,32,10241,0,11265,1024,1024,1024,   0,0.16,0.00,0.0000
12,1,12,0.00,NONE,352,0,384,32,32,32,11265,0,12289,1024,1024,1024,   0,0.16,0.00,0.0000
13,1,13,0.00,NONE,384,0,416,32,32,32,12289,0,13313,1024,1024,1024,   0,0.16,0.00,0.0000
